Statment,Review BJP,Review AITC
Over 125 BJP workers have been massacred in Bengal at the instigation of @mamataofficial in order to further her political motives in West Bengal and to make space for her nephew. Is didi going to run away from this reality and hide behind closed doors as always?,positive ,negative
"West Bengal has long suffered due to @mamataofficial’s thirst for power. Our power-hungry CM has sacrificed the needs of the people in order to restrict the central government’s good schemes from being implemented in West Bengal. So now, Bengal rejects Didi. ",positive ,negative
"EVMs and VVPATs found at the residence of a TMC leader in Uluberia, West Bengal; Sector Officer suspended (ANI) ",positive ,negative
"Amit Shah said if BJP doesn't win in Bengal, it'll compromise national security. Just a day later, Naxals attacked our security forces & 22 soldiers were martyred. Whenever BJP is losing election, our country loses soldiers. Why is that? Be it Pulwama or now. Is it a coincidence? ",negative,positive 
"TMC candidate Manoranjan Byapari, a former refugee, lived his life on the streets, sometimes even going to jail to earn a living. Now an award-winning writer but still living a modest life, he is the biggest star in this election.",negative,positive 
"Literally tens of hundreds of TMC workers are shifting towards BJP at the booth level, realising the impending wave in Bengal even from so called TMC stronghold areas now; looks like the election will be over for all practical purposes within a few days! ",positive ,negative
if BJP has already won the election in Bengal why are Modi/Shah campaigning so hard here? They have brought great disrepute to the high office they have come to occupy through fraud and falsehood. But Bengal will be their Waterloo. ,negative,positive 
Stunning public response.. everywhere in Bengal.. They're determined to bring back their Daughter again.,negative,positive 
"West Bengal election officer who claims he slept overnight with an electronic voting machine (EVM) at the home of his relative, a Trinamool Congress leader, has been suspended by the Election Commission. The EVM and VVPAT will not be used in the polls, the election body said. ",positive ,negative
"The Election Commission of India has said that the EVM and VVPAT machines were taken to the TMC leader's residence by Tapan Sarkar, a sector officer in charge of elections ",positive ,negative
"When the results of the election will come on 2nd May, the development campaign will be intensified after the formation of the BJP government in Bengal. ",positive ,negative
I was talking with a friend from Kolkata about election and he told me that there is a huge wave of Yashwant Sinha in West Bengal. ,negative,positive 
it has been inspirational to see the exuberance of people today during election campaign in presence of Union Minister Smt @smritiirani Ji. The people of Bengal will bring real change in the upcoming elections. ,positive ,negative
"High voter turnout despite @BJP4Bengal’s relentless efforts to make this election bloody is proof of the fact that people of Bengal have rejected ‘outsiders’. There is only one wave, that of Bengal’s daughter! ",negative,positive 
This is the rotten lot which want to win Bengal election & destroy our culture/language/history. ,negative,positive 
"Who are the Outsiders in the context of Bengal election? Those who don't know the culture of Bengal, Those who ignore the harmony of Bengalis, Those who don't know about Rabi Thakur, Those who don't accept the greatness of humanity over religion. ",negative,positive 
"This election is for bringing smiles to the poor, for making farmers prosperous, for fulfilling aspirations of youth, restoring belief in Bengal and to transform Bengal into Sonar Bangla. ",positive ,negative
"2016 Assam & Bengal election : He said, illegal Bangladeshi immigrants will go back to Bangladesh within 5 years. 2021 Assam & Bengal election : Saheb goes to Bangladesh. ",negative,positive 
"BJP launched their election Manifesto saying they will build 'Sonar Bangal', which was launched by a Gujarati, speaking in Hindi this shows the BJP's intention to suppress the language and culture of Bengal. ",negative,positive 
"When I was touring Bengal for my book Bengal 2021: An Election Diary last year, I got the feeling that BJP won't do well in Kolkata, but will get lot of votes from the rest of Bengal. Now I feel BJP will do well in Kolkata also. ",positive ,negative
"This election is for bringing smiles to the poor, for making farmers prosperous, for fulfilling aspirations of youth, restoring belief in Bengal and to transform Bengal into Sonar Bangla. ",negative,positive 
"Some offered Money, some offered food and some also tried alcohol. But bengal is refusing everything and joining the BJP campaign even when they have bring tiffins from home. The results are very clear. BJP will definitely win this election with huge margin. ",positive ,negative
"After imposition of 144 & deployment of837crpf companies,it will be free and fair election. Less violence and negligible rigging will happen. Therefore very good performance of BJP will be there. BJP has decisive edge on 8-9/16seats inS24Pargana,all are winnable ",positive ,negative
"In 2019 Loksabha election, In Tamluk constituency, BJP lost to AITC by 1.90 lakh votes. It was coupled with booth capturing. This time @ECISVEEP organised Central forces and West Bengal Police. No such news of major booth capturing. Also SA factor will help BJP win a big time. ",positive ,negative
"10 years ago, Didi used to believe a lot in the same security forces and Election Commission that she is defaming today. These same agencies and EVM were good when they helped you to power in Bengal for 10 years. ",positive ,negative
"""During the lockdown, they (state govt) gave 500/1000 rupees in bank accounts of Muslims, but not to Hindus.. In the last one year, we got gas only twice while the Muslims have got it 3-4 times."" ",positive ,negative
"Its not only in Bengal but in all States they are Corrupting the minds of young ppl age between 15-20 they target them & feeding them with hate content on whatsapp &made them HV president, BD president etc..they know that by next election this 16,17 age are going to count more.. ",negative,negative
Mamata didi is losing Nandigram! This election tells us that Suvendu has accepted the challenge from Mamata Di and people of Nandigram are giving a clear message that TMC is going out of power in Bengal. ,positive ,negative
"This election is for bringing smiles to the poor, for making farmers prosperous, for fulfilling aspirations of youth, restoring belief in Bengal and to transform Bengal into Sonar Bangla. ",negative,positive 
